ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/synchronize.py:46(SemLock)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/util.py:171(register_after_fork)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/process.py:399(__init__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/__init__.py:22(<listcomp>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:203(reducer)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:220(Process)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:230(DefaultContext)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:283(SpawnProcess)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/process.py:364(_ParentProcess)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/synchronize.py:90(_make_methods)
38,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/__init__.py:23(<genexpr>)
1,0.000,0.000,0.004,0.004,/usr/lib/python3.11/multiprocessing/context.py:70(RLock)
407,0.000,0.000,0.000,0.000,/usr/lib/python3.11/socket.py:78(<lambda>)
408,0.000,0.000,0.000,0.000,/usr/lib/python3.11/socket.py:83(<lambda>)
409,0.000,0.000,0.000,0.000,/usr/lib/python3.11/socket.py:88(<lambda>)
410,0.000,0.000,0.000,0.000,/usr/lib/python3.11/socket.py:93(<lambda>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/socket.py:214(socket)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:14(ProcessError)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:17(BufferTooShort)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:20(TimeoutError)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:23(AuthenticationError)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:197(get_start_method)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:302(ForkContext)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:306(SpawnContext)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/process.py:37(current_process)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/process.py:349(AuthenticationString)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/reduction.py:211(_C)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/socket.py:211(_GiveupOnSendfile)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:233(__init__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/multiprocessing/context.py:276(ForkProcess)
